Time,solar_irradiance,temp,hour_sun
20230101:0011,0.0,14.09,0.0
20230101:0111,0.0,14.35,0.0
20230101:0211,0.0,14.82,0.0
20230101:0311,0.0,15.06,0.0
20230101:0411,0.0,14.82,0.0
20230101:0511,0.0,14.77,0.0
20230101:0611,0.0,14.48,0.0
20230101:0711,0.0,14.97,0.0
20230101:0811,14.66,14.55,4.01
20230101:0911,166.32,14.34,9.02
20230101:1011,51.29,14.35,12.21
20230101:1111,60.45,14.22,13.31
20230101:1211,200.69,14.1,12.24
20230101:1311,257.85,13.68,9.07
20230101:1411,180.93,13.13,4.09
20230101:1511,0.0,12.4,0.0
20230101:1611,0.0,12.1,0.0
20230101:1711,0.0,11.5,0.0
20230101:1811,0.0,10.87,0.0
20230101:1911,0.0,10.64,0.0
20230101:2011,0.0,10.49,0.0
20230101:2111,0.0,10.24,0.0
20230101:2211,0.0,10.17,0.0
20230101:2311,0.0,10.1,0.0
20230102:0011,0.0,9.66,0.0
20230102:0111,0.0,9.55,0.0
20230102:0211,0.0,9.49,0.0
20230102:0311,0.0,9.58,0.0
20230102:0411,0.0,9.71,0.0
20230102:0511,0.0,9.91,0.0
20230102:0611,0.0,10.21,0.0
20230102:0711,0.0,10.68,0.0
20230102:0811,10.08,10.94,4.05
20230102:0911,197.14,11.36,9.07
20230102:1011,50.38,11.88,12.28
20230102:1111,68.06,12.34,13.4
20230102:1211,49.46,12.65,12.34
20230102:1311,113.49,12.47,9.19
20230102:1411,7.33,11.96,4.21
20230102:1511,0.0,11.2,0.0
20230102:1611,0.0,10.09,0.0
20230102:1711,0.0,9.03,0.0
20230102:1811,0.0,8.42,0.0
20230102:1911,0.0,7.9,0.0
20230102:2011,0.0,7.79,0.0
20230102:2111,0.0,7.78,0.0
20230102:2211,0.0,7.85,0.0
20230102:2311,0.0,7.68,0.0
20230103:0011,0.0,7.09,0.0
20230103:0111,0.0,6.54,0.0
20230103:0211,0.0,6.04,0.0
20230103:0311,0.0,5.54,0.0
20230103:0411,0.0,5.05,0.0
20230103:0511,0.0,4.85,0.0
20230103:0611,0.0,4.65,0.0
20230103:0711,0.0,4.34,0.0
20230103:0811,224.14,4.32,4.09
20230103:0911,478.89,4.5,9.13
20230103:1011,598.4,4.74,12.35
20230103:1111,390.34,5.04,13.49
20230103:1211,616.84,5.15,12.45
20230103:1311,453.09,5.12,9.31
20230103:1411,124.98,4.72,4.33
20230103:1511,0.0,4.21,0.0
20230103:1611,0.0,3.53,0.0
20230103:1711,0.0,3.19,0.0
20230103:1811,0.0,2.83,0.0
20230103:1911,0.0,2.96,0.0
20230103:2011,0.0,3.39,0.0
20230103:2111,0.0,3.87,0.0
