Time,solar_irradiance,temp,hour_sun
20230101:0010,0,0,12.77
20230101:0110,0,0,12.29
20230101:0210,0,0,12.05
20230101:0310,0,0,11.93
20230101:0410,0,0,11.71
20230101:0510,0,0,11.42
20230101:0610,0,0,11.16
20230101:0710,0,0,11.13
20230101:0810,29.87,4.89,11.28
20230101:0910,52.03,10.8,12.15
20230101:1010,97.32,14.84,12.73
20230101:1110,115.63,16.67,13.11
20230101:1210,64.56,16.13,13.31
20230101:1310,53,13.25,13.39
20230101:1410,19.27,8.31,13.24
20230101:1510,0.96,1.69,12.62
20230101:1610,0,0,11.81
20230101:1710,0,0,11.47
20230101:1810,0,0,11.48
20230101:1910,0,0,11.55
20230101:2010,0,0,11.34
20230101:2110,0,0,11.33
20230101:2210,0,0,11.47
20230101:2310,0,0,11.52
20230102:0010,0,0,11.28
20230102:0110,0,0,10.99
20230102:0210,0,0,10.91
20230102:0310,0,0,10.64
20230102:0410,0,0,10.56
20230102:0510,0,0,10.07
20230102:0610,0,0,9.76
20230102:0710,0,0,10.39
20230102:0810,5.78,4.92,10.58
20230102:0910,61.67,10.84,11.02
20230102:1010,64.56,14.9,10.91
20230102:1110,64.56,16.76,10.68
20230102:1210,31.8,16.22,11.07
20230102:1310,45.29,13.36,11.1
20230102:1410,13.49,8.43,10.93
20230102:1510,2.89,1.82,10.66
20230102:1610,0,0,10.36
20230102:1710,0,0,10.07
20230102:1810,0,0,9.64
20230102:1910,0,0,9.52
20230102:2010,0,0,8.93
20230102:2110,0,0,8.25
20230102:2210,0,0,7.08
20230102:2310,0,0,6.39
20230103:0010,0,0,5.86
20230103:0110,0,0,5.59
20230103:0210,0,0,5.3
20230103:0310,0,0,5.24
20230103:0410,0,0,5.13
20230103:0510,0,0,5.35
20230103:0610,0,0,5.04
20230103:0710,0,0,4.93
20230103:0810,26.02,4.95,5.22
20230103:0910,50.11,10.89,5.77
20230103:1010,56.85,14.97,6.82
20230103:1110,100.22,16.84,7.34
20230103:1210,83.83,16.33,7.78
20230103:1310,51.07,13.48,8.12
20230103:1410,34.69,8.56,8.27
20230103:1510,0.96,1.95,8.12
20230103:1610,0,0,7.96
20230103:1710,0,0,7.88
20230103:1810,0,0,7.8
20230103:1910,0,0,6.75
20230103:2010,0,0,6.55
20230103:2110,0,0,6.66
20230103:2210,0,0,6.56
20230103:2310,0,0,6.17
20230104:0010,0,0,6.07
20230104:0110,0,0,6
20230104:0210,0,0,5.79
20230104:0310,0,0,5.85
20230104:0410,0,0,6.04
20230104:0510,0,0,6.22
20230104:0610,0,0,6
20230104:0710,0,0,6.22
20230104:0810,14.45,4.99,6.63
20230104:0910,27.94,10.94,7.05
20230104:1010,45.29,15.05,7.48
20230104:1110,60.71,16.94,7.88
20230104:1210,62.63,16.44,8.5
20230104:1310,26.98,13.6,8.88
20230104:1410,26.02,8.69,9.21
20230104:1510,1.93,2.09,9.25
20230104:1610,0,0,9.25
20230104:1710,0,0,9.19
20230104:1810,0,0,9.35
20230104:1910,0,0,9.01
20230104:2010,0,0,9.33
20230104:2110,0,0,9.56
20230104:2210,0,0,9.69
20230104:2310,0,0,9.79
20230105:0010,0,0,9.93
20230105:0110,0,0,9.82
20230105:0210,0,0,9.46
20230105:0310,0,0,9.57
20230105:0410,0,0,9.71
20230105:0510,0,0,9.22
20230105:0610,0,0,8.92
20230105:0710,0,0,8.48
20230105:0810,16.38,5.04,8.36
20230105:0910,79.02,11.01,8.62
20230105:1010,99.25,15.13,8.88
20230105:1110,129.12,17.04,9.08
20230105:1210,113.71,16.56,9.43
20230105:1310,101.18,13.74,9.56
20230105:1410,59.74,8.83,9.45
20230105:1510,1.93,2.24,9.08
20230105:1610,0,0,8.53
20230105:1710,0,0,8.02
20230105:1810,0,0,8.05
20230105:1910,0,0,7.99
20230105:2010,0,0,8.4
20230105:2110,0,0,8.74
20230105:2210,0,0,8.88
20230105:2310,0,0,9
20230106:0010,0,0,8.96
20230106:0110,0,0,9.18
20230106:0210,0,0,9.32
20230106:0310,0,0,9.52
20230106:0410,0,0,9.82
20230106:0510,0,0,9.74
20230106:0610,0,0,9.25
20230106:0710,0,0,9.26
20230106:0810,9.64,5.09,9.01
20230106:0910,64.56,11.08,9.21
20230106:1010,46.25,15.22,9.31
20230106:1110,128.16,17.15,9.56
20230106:1210,124.31,16.69,9.65
20230106:1310,99.25,13.88,9.91
20230106:1410,40.47,8.98,9.78
20230106:1510,1.93,2.39,9.75
20230106:1610,0,0,9.48
20230106:1710,0,0,9.38
20230106:1810,0,0,9.37
20230106:1910,0,0,9.2
20230106:2010,0,0,9.16
20230106:2110,0,0,9.13
20230106:2210,0,0,9.11
20230106:2310,0,0,9.2
20230107:0010,0,0,9.2
20230107:0110,0,0,8.75
20230107:0210,0,0,8.29
20230107:0310,0,0,8.24
20230107:0410,0,0,8.13
20230107:0510,0,0,8.07
20230107:0610,0,0,7.93
20230107:0710,0,0,8.08
20230107:0810,17.34,5.15,8.06
20230107:0910,16.38,11.16,8.29
20230107:1010,32.76,15.32,8.8
20230107:1110,53.96,17.27,9.21
20230107:1210,86.72,16.82,9.95
20230107:1310,62.63,14.02,10.35
20230107:1410,24.09,9.13,10.06
20230107:1510,1.93,2.54,9.22
20230107:1610,0,0,8.18
20230107:1710,0,0,7.51
20230107:1810,0,0,7.39
20230107:1910,0,0,7.19
20230107:2010,0,0,6.6
20230107:2110,0,0,7.08
20230107:2210,0,0,7.09
20230107:2310,0,0,6.97
20230108:0010,0,0,6.8
20230108:0110,0,0,7.44
20230108:0210,0,0,7.69
20230108:0310,0,0,7.92
20230108:0410,0,0,7.86
20230108:0510,0,0,7.67
20230108:0610,0,0,7.5
20230108:0710,0,0,7.91
20230108:0810,31.8,5.22,8.08
20230108:0910,48.18,11.25,8.24
20230108:1010,49.14,15.42,8.41
20230108:1110,126.23,17.4,8.76
20230108:1210,123.34,16.96,9.07
20230108:1310,59.74,14.17,9.58
20230108:1410,61.67,9.29,9.45
20230108:1510,5.78,2.7,9.06
20230108:1610,0,0,8.12
20230108:1710,0,0,7.68
20230108:1810,0,0,7.34
20230108:1910,0,0,7
20230108:2010,0,0,6.71
20230108:2110,0,0,6.24
20230108:2210,0,0,6.28
20230108:2310,0,0,6.16
20230109:0010,0,0,6.17
20230109:0110,0,0,6.18
20230109:0210,0,0,6.52
20230109:0310,0,0,6.69
20230109:0410,0,0,6.72
20230109:0510,0,0,6.78
20230109:0610,0,0,6.38
20230109:0710,0,0,5.91
20230109:0810,20.24,5.29,5.55
20230109:0910,55.89,11.34,5.37
20230109:1010,103.11,15.54,5.58
20230109:1110,96.36,17.53,6.19
20230109:1210,113.71,17.11,6.74
20230109:1310,102.14,14.33,6.88
20230109:1410,45.29,9.45,6.62
20230109:1510,7.71,2.87,6.18
20230109:1610,0,0,5.64
20230109:1710,0,0,5.22
20230109:1810,0,0,4.93
20230109:1910,0,0,4.51
20230109:2010,0,0,4.39
20230109:2110,0,0,4.5
20230109:2210,0,0,4.61
20230109:2310,0,0,4.56
20230110:0010,0,0,4.48
20230110:0110,0,0,4.52
20230110:0210,0,0,4.68
20230110:0310,0,0,4.76
20230110:0410,0,0,4.49
20230110:0510,0,0,4.36
20230110:0610,0,0,4.02
20230110:0710,0,0,4.09
20230110:0810,26.02,5.37,3.87
20230110:0910,74.2,11.44,3.88
20230110:1010,105.03,15.66,4.28
20230110:1110,125.27,17.67,4.71
20230110:1210,132.98,17.27,5.03
20230110:1310,106,14.5,5.36
20230110:1410,61.67,9.63,5.5
20230110:1510,6.75,3.04,5.42
20230110:1610,0,0,5.26
20230110:1710,0,0,5.26
20230110:1810,0,0,5.3
20230110:1910,0,0,4.85
20230110:2010,0,0,4.7
20230110:2110,0,0,4.19
20230110:2210,0,0,4.17
20230110:2310,0,0,4.4
20230111:0010,0,0,4.77
20230111:0110,0,0,5.29
20230111:0210,0,0,5.97
20230111:0310,0,0,6.61
20230111:0410,0,0,7.17
20230111:0510,0,0,7.68
20230111:0610,0,0,8.08
20230111:0710,0,0,7.89
20230111:0810,11.56,5.46,8.11
