Datetime,forecast_DA,forecast_up,forecast_down
2023-01-01 00:00:00,13.4,12.1,13.9
2023-01-01 00:59:59,13.3,12.1,13.9
2023-01-01 02:00:00,9.3,12.1,13.9
2023-01-01 03:00:00,12.7,12.1,13.9
2023-01-01 03:59:59,9.8,11.5,12.8
2023-01-01 05:00:00,12.1,11.5,12.8
2023-01-01 06:00:00,16.6,11.5,12.8
2023-01-01 06:59:59,24.3,11.5,12.8
2023-01-01 08:00:00,16.6,12.7,12.7
2023-01-01 09:00:00,14.8,12.7,12.7
2023-01-01 09:59:59,13.5,12.7,12.7
2023-01-01 11:00:00,13.0,12.7,12.7
2023-01-01 12:00:00,18.5,11.8,11.9
2023-01-01 12:59:59,23.2,11.8,11.9
2023-01-01 14:00:00,28.9,11.8,11.9
2023-01-01 15:00:00,34.8,11.8,11.9
2023-01-01 15:59:59,73.2,6.1,7.7
2023-01-01 17:00:00,82.0,6.1,7.7
2023-01-01 18:00:00,83.7,6.1,7.7
2023-01-01 18:59:59,79.2,6.1,7.7
2023-01-01 20:00:00,81.7,2.7,6.6
2023-01-01 21:00:00,76.9,2.7,6.6
2023-01-01 21:59:59,71.3,2.7,6.6
2023-01-01 23:00:00,62.6,2.7,6.6
2023-01-02 00:00:00,58.4,8.8,12.9
2023-01-02 00:59:59,57.1,8.8,12.9
2023-01-02 02:00:00,56.1,8.8,12.9
2023-01-02 03:00:00,55.1,8.8,12.9
2023-01-02 03:59:59,58.4,12.8,11.7
2023-01-02 05:00:00,69.3,12.8,11.7
2023-01-02 06:00:00,74.6,12.8,11.7
2023-01-02 06:59:59,88.7,12.8,11.7
2023-01-02 08:00:00,87.5,4.8,12.6
2023-01-02 09:00:00,82.9,4.8,12.6
2023-01-02 09:59:59,67.8,4.8,12.6
2023-01-02 11:00:00,62.6,4.8,12.6
2023-01-02 12:00:00,63.9,13.2,15.0
2023-01-02 12:59:59,64.7,13.2,15.0
2023-01-02 14:00:00,66.9,13.2,15.0
2023-01-02 15:00:00,80.4,13.2,15.0
2023-01-02 15:59:59,95.5,20.0,5.2
2023-01-02 17:00:00,99.8,20.0,5.2
2023-01-02 18:00:00,97.7,20.0,5.2
2023-01-02 18:59:59,90.6,20.0,5.2
2023-01-02 20:00:00,85.3,13.9,7.7
2023-01-02 21:00:00,78.0,13.9,7.7
2023-01-02 21:59:59,75.1,13.9,7.7
2023-01-02 23:00:00,60.9,13.9,7.7
2023-01-03 00:00:00,44.5,20.7,23.3
2023-01-03 00:59:59,36.8,20.7,23.3
2023-01-03 02:00:00,35.0,20.7,23.3
2023-01-03 03:00:00,33.5,20.7,23.3
2023-01-03 03:59:59,31.3,27.4,18.4
2023-01-03 05:00:00,34.5,27.4,18.4
2023-01-03 06:00:00,41.8,27.4,18.4
2023-01-03 06:59:59,60.0,27.4,18.4
2023-01-03 08:00:00,55.4,8.6,3.2
2023-01-03 09:00:00,53.7,8.6,3.2
2023-01-03 09:59:59,52.7,8.6,3.2
2023-01-03 11:00:00,61.0,8.6,3.2
2023-01-03 12:00:00,53.7,12.7,10.9
2023-01-03 12:59:59,53.1,12.7,10.9
2023-01-03 14:00:00,53.2,12.7,10.9
2023-01-03 15:00:00,56.3,12.7,10.9
2023-01-03 15:59:59,71.9,13.0,12.8
2023-01-03 17:00:00,77.6,13.0,12.8
2023-01-03 18:00:00,77.6,13.0,12.8
2023-01-03 18:59:59,74.8,13.0,12.8
2023-01-03 20:00:00,74.4,12.4,13.4
2023-01-03 21:00:00,71.1,12.4,13.4
2023-01-03 21:59:59,68.5,12.4,13.4
2023-01-03 23:00:00,66.0,12.4,13.4
2023-01-04 00:00:00,58.1,12.6,15.3
2023-01-04 00:59:59,57.1,12.6,15.3
2023-01-04 02:00:00,56.3,12.6,15.3
2023-01-04 03:00:00,55.1,12.6,15.3
2023-01-04 03:59:59,53.3,9.0,13.7
2023-01-04 05:00:00,58.0,9.0,13.7
2023-01-04 06:00:00,67.2,9.0,13.7
2023-01-04 06:59:59,77.3,9.0,13.7
2023-01-04 08:00:00,81.5,12.9,9.2
2023-01-04 09:00:00,80.3,12.9,9.2
2023-01-04 09:59:59,78.0,12.9,9.2
2023-01-04 11:00:00,78.7,12.9,9.2
2023-01-04 12:00:00,73.0,5.0,7.4
2023-01-04 12:59:59,68.4,5.0,7.4
2023-01-04 14:00:00,60.6,5.0,7.4
2023-01-04 15:00:00,60.9,5.0,7.4
2023-01-04 15:59:59,67.5,6.5,11.0
2023-01-04 17:00:00,70.6,6.5,11.0
2023-01-04 18:00:00,65.8,6.5,11.0
2023-01-04 18:59:59,53.3,6.5,11.0
2023-01-04 20:00:00,57.2,10.4,6.4
2023-01-04 21:00:00,53.7,10.4,6.4
2023-01-04 21:59:59,52.6,10.4,6.4
2023-01-04 23:00:00,50.3,10.4,6.4
2023-01-05 00:00:00,58.0,11.5,12.9
2023-01-05 00:59:59,57.2,11.5,12.9
2023-01-05 02:00:00,56.4,11.5,12.9
2023-01-05 03:00:00,56.5,11.5,12.9
2023-01-05 03:59:59,57.9,8.0,12.6
2023-01-05 05:00:00,62.0,8.0,12.6
2023-01-05 06:00:00,69.4,8.0,12.6
2023-01-05 06:59:59,79.9,8.0,12.6
2023-01-05 08:00:00,80.9,10.2,4.5
2023-01-05 09:00:00,83.5,10.2,4.5
2023-01-05 09:59:59,83.6,10.2,4.5
2023-01-05 11:00:00,88.9,10.2,4.5
2023-01-05 12:00:00,86.2,12.2,3.6
2023-01-05 12:59:59,84.0,12.2,3.6
2023-01-05 14:00:00,83.6,12.2,3.6
2023-01-05 15:00:00,89.1,12.2,3.6
2023-01-05 15:59:59,101.4,9.1,9.7
2023-01-05 17:00:00,105.2,9.1,9.7
2023-01-05 18:00:00,108.4,9.1,9.7
2023-01-05 18:59:59,103.3,9.1,9.7
2023-01-05 20:00:00,105.0,8.0,6.3
2023-01-05 21:00:00,101.3,8.0,6.3
2023-01-05 21:59:59,96.3,8.0,6.3
2023-01-05 23:00:00,86.3,8.0,6.3
2023-01-06 00:00:00,81.2,9.8,13.1
2023-01-06 00:59:59,77.4,9.8,13.1
2023-01-06 02:00:00,75.8,9.8,13.1
2023-01-06 03:00:00,72.4,9.8,13.1
2023-01-06 03:59:59,69.1,11.7,11.4
2023-01-06 05:00:00,70.7,11.7,11.4
2023-01-06 06:00:00,74.5,11.7,11.4
2023-01-06 06:59:59,81.2,11.7,11.4
2023-01-06 08:00:00,68.9,12.1,11.7
2023-01-06 09:00:00,70.5,12.1,11.7
2023-01-06 09:59:59,69.9,12.1,11.7
2023-01-06 11:00:00,70.6,12.1,11.7
2023-01-06 12:00:00,71.4,6.4,13.5
2023-01-06 12:59:59,69.1,6.4,13.5
2023-01-06 14:00:00,68.2,6.4,13.5
2023-01-06 15:00:00,68.8,6.4,13.5
2023-01-06 15:59:59,82.7,9.5,3.8
2023-01-06 17:00:00,89.8,9.5,3.8
2023-01-06 18:00:00,95.6,9.5,3.8
2023-01-06 18:59:59,92.9,9.5,3.8
2023-01-06 20:00:00,94.8,7.6,9.1
2023-01-06 21:00:00,92.8,7.6,9.1
2023-01-06 21:59:59,91.6,7.6,9.1
2023-01-06 23:00:00,88.7,7.6,9.1
2023-01-07 00:00:00,84.2,13.9,9.7
2023-01-07 00:59:59,82.6,13.9,9.7
2023-01-07 02:00:00,83.2,13.9,9.7
2023-01-07 03:00:00,83.1,13.9,9.7
2023-01-07 03:59:59,89.1,3.6,3.0
2023-01-07 05:00:00,97.6,3.6,3.0
2023-01-07 06:00:00,107.9,3.6,3.0
2023-01-07 06:59:59,121.1,3.6,3.0
2023-01-07 08:00:00,116.0,7.3,8.0
2023-01-07 09:00:00,113.3,7.3,8.0
2023-01-07 09:59:59,111.7,7.3,8.0
2023-01-07 11:00:00,111.2,7.3,8.0
2023-01-07 12:00:00,99.0,5.8,2.3
2023-01-07 12:59:59,92.6,5.8,2.3
2023-01-07 14:00:00,93.8,5.8,2.3
2023-01-07 15:00:00,99.9,5.8,2.3
2023-01-07 15:59:59,118.0,7.9,11.3
2023-01-07 17:00:00,122.5,7.9,11.3
2023-01-07 18:00:00,119.7,7.9,11.3
2023-01-07 18:59:59,111.5,7.9,11.3
2023-01-07 20:00:00,106.5,8.4,9.0
