Start_DateTime,End_DateTime,Hourly_Step,Price_Euro_per_MWh
2023-01-01 00:00:00,2023-01-01 01:00:00,1.0,-5.17
2023-01-01 01:00:00,2023-01-01 02:00:00,1.0,-1.07
2023-01-01 02:00:00,2023-01-01 03:00:00,1.0,-1.47
2023-01-01 03:00:00,2023-01-01 04:00:00,1.0,-5.08
2023-01-01 04:00:00,2023-01-01 05:00:00,1.0,-4.49
2023-01-01 05:00:00,2023-01-01 06:00:00,1.0,-5.4
2023-01-01 06:00:00,2023-01-01 07:00:00,1.0,-5.02
2023-01-01 07:00:00,2023-01-01 08:00:00,1.0,-1.3
2023-01-01 08:00:00,2023-01-01 09:00:00,1.0,-1.44
2023-01-01 09:00:00,2023-01-01 10:00:00,1.0,-1.09
2023-01-01 10:00:00,2023-01-01 11:00:00,1.0,-1.07
2023-01-01 11:00:00,2023-01-01 12:00:00,1.0,-1.07
2023-01-01 12:00:00,2023-01-01 13:00:00,1.0,-0.79
2023-01-01 13:00:00,2023-01-01 14:00:00,1.0,-0.27
2023-01-01 14:00:00,2023-01-01 15:00:00,1.0,0.85
2023-01-01 15:00:00,2023-01-01 16:00:00,1.0,23.53
2023-01-01 16:00:00,2023-01-01 17:00:00,1.0,36.54
2023-01-01 17:00:00,2023-01-01 18:00:00,1.0,46.03
2023-01-01 18:00:00,2023-01-01 19:00:00,1.0,55.57
2023-01-01 19:00:00,2023-01-01 20:00:00,1.0,54.95
2023-01-01 20:00:00,2023-01-01 21:00:00,1.0,49.23
2023-01-01 21:00:00,2023-01-01 22:00:00,1.0,44.99
2023-01-01 22:00:00,2023-01-01 23:00:00,1.0,45.96
2023-01-01 23:00:00,2023-01-02 00:00:00,1.0,35.0
2023-01-02 00:00:00,2023-01-02 01:00:00,1.0,57.91
2023-01-02 01:00:00,2023-01-02 02:00:00,1.0,51.67
2023-01-02 02:00:00,2023-01-02 03:00:00,1.0,52.93
2023-01-02 03:00:00,2023-01-02 04:00:00,1.0,44.09
2023-01-02 04:00:00,2023-01-02 05:00:00,1.0,50.08
2023-01-02 05:00:00,2023-01-02 06:00:00,1.0,69.72
2023-01-02 06:00:00,2023-01-02 07:00:00,1.0,105.08
2023-01-02 07:00:00,2023-01-02 08:00:00,1.0,140.64
2023-01-02 08:00:00,2023-01-02 09:00:00,1.0,145.98
2023-01-02 09:00:00,2023-01-02 10:00:00,1.0,147.05
2023-01-02 10:00:00,2023-01-02 11:00:00,1.0,145.61
2023-01-02 11:00:00,2023-01-02 12:00:00,1.0,143.35
2023-01-02 12:00:00,2023-01-02 13:00:00,1.0,144.38
2023-01-02 13:00:00,2023-01-02 14:00:00,1.0,143.76
2023-01-02 14:00:00,2023-01-02 15:00:00,1.0,148.2
2023-01-02 15:00:00,2023-01-02 16:00:00,1.0,155.34
